,Satznummer_Auto,Artikeltext_Auto,"V9_KKI_Relevanz 
0 = nicht relevant, 1 = relevant","V10_Erwähnung_KKI_Angebot 
0 = nicht relevant, 1 = wird nicht erwähnt, 2 = wird erwähnt","V11_Bewertung_KKI 
0 = nicht relevant, 1 = negativ, 2 = positiv, 3= neutral","V12_Frame_Risiko_Fortschritt_Gemischt 
0 = nicht relevant, 1 = Risiko, 2 = Fortschritt, 3 = gemischt, 33 = kein Frame","V13_Risiko_Typ 
0 = nicht relevant, 1 =   Gesellschaftsrisiken, 2 =  Sicherheitsrisiken, 3 = Wirtschaftsrisiken, 4 = Informationsrisiken, 5 = Existentielle Risiken, 77 = kein konkretes Risiko, 99 = mehrere Risiken, 88 = anderes Risiko, 33 = kein Risiko","V13_2_Risiko_Typ_Anderes 
offenes Codieren","V14_Fortschritt_Typ 
0 = nicht relevant, 1 = Gesellschaftlicher Fortschritt, 2 = Gesundheitlicher Fortschritt, 3 = Wirtschaftlicher Fortschritt, 4 = Technologischer Fortschritt, 5 = Fortschritt zum Wohle der Menschheit, 77 = kein konkreter Fortschritt, 99 = mehrere Fortschrittstypen, 88 = anderer Fortschritt, 33 = kein Fortschritt","V14_2_Fortschritt_Typ_Anderes 
offenes Codieren",article_id,prefix,suffix
2292,7,"Die Idee dahinter sei, den Nutzern eine Möglichkeit zu geben, auf interaktive Weise ihren Interessen nachzugehen, sagte Meta-Produktchef Chris Cox.",1,1,3,2,3,0,4,0.0,1574,"Die Software wird zunächst in den USA verfügbar sein. Meta schließt sich damit anderen Tech-Schwergewichten an, die nach dem Erfolg des Chatbots ChatGPT bei KI-Angeboten aufrüsten. Meta-Chef Mark Zuckerberg stellte unter anderem eine Software vor, die schnell Bilder aus Text-Vorgaben generieren kann, die danach zum Beispiel in Beiträgen bei Online-Netzwerken verwendet werden können. Zum anderen will Meta die Nutzer mit KI-Bots interagieren lassen, die auf verschiedene Themen und Wissensbereiche spezialisiert sind. Prominente leihen ihre Gesichter dafür - etwa Football-Star Tom Brady für einen Bot zu Sport-Themen.","Im,, AI Studio "" sollen Unternehmen eigene Künstliche Intelligenzen entwickeln können. Auch Prominente könnten mit der Zeit KI-Versionen von sich auf die Plattform bringen, sagte Cox. Künstliche Intelligenz werde verändern, wie Menschen die meisten Produkte von Meta nutzen, betonte Zuckerberg. Zum Konzern gehören unter anderem auch Instagram sowie die Chatdienste WhatsApp und Messenger."
2293,8,"Im,, AI Studio "" sollen Unternehmen eigene Künstliche Intelligenzen entwickeln können.",1,1,3,2,3,0,4,0.0,1574,"Meta schließt sich damit anderen Tech-Schwergewichten an, die nach dem Erfolg des Chatbots ChatGPT bei KI-Angeboten aufrüsten. Meta-Chef Mark Zuckerberg stellte unter anderem eine Software vor, die schnell Bilder aus Text-Vorgaben generieren kann, die danach zum Beispiel in Beiträgen bei Online-Netzwerken verwendet werden können. Zum anderen will Meta die Nutzer mit KI-Bots interagieren lassen, die auf verschiedene Themen und Wissensbereiche spezialisiert sind. Prominente leihen ihre Gesichter dafür - etwa Football-Star Tom Brady für einen Bot zu Sport-Themen. Die Idee dahinter sei, den Nutzern eine Möglichkeit zu geben, auf interaktive Weise ihren Interessen nachzugehen, sagte Meta-Produktchef Chris Cox.","Auch Prominente könnten mit der Zeit KI-Versionen von sich auf die Plattform bringen, sagte Cox. Künstliche Intelligenz werde verändern, wie Menschen die meisten Produkte von Meta nutzen, betonte Zuckerberg. Zum Konzern gehören unter anderem auch Instagram sowie die Chatdienste WhatsApp und Messenger. Da KI-Software manchmal unerwartete und problematische Inhalte erzeugen kann, werde sich Meta mehr Zeit mit der Einführung solcher Funktionen lassen als sonst üblich."
2294,9,"Auch Prominente könnten mit der Zeit KI-Versionen von sich auf die Plattform bringen, sagte Cox.",1,1,3,2,3,0,4,0.0,1574,"Meta-Chef Mark Zuckerberg stellte unter anderem eine Software vor, die schnell Bilder aus Text-Vorgaben generieren kann, die danach zum Beispiel in Beiträgen bei Online-Netzwerken verwendet werden können. Zum anderen will Meta die Nutzer mit KI-Bots interagieren lassen, die auf verschiedene Themen und Wissensbereiche spezialisiert sind. Prominente leihen ihre Gesichter dafür - etwa Football-Star Tom Brady für einen Bot zu Sport-Themen. Die Idee dahinter sei, den Nutzern eine Möglichkeit zu geben, auf interaktive Weise ihren Interessen nachzugehen, sagte Meta-Produktchef Chris Cox. Im,, AI Studio "" sollen Unternehmen eigene Künstliche Intelligenzen entwickeln können.","Künstliche Intelligenz werde verändern, wie Menschen die meisten Produkte von Meta nutzen, betonte Zuckerberg. Zum Konzern gehören unter anderem auch Instagram sowie die Chatdienste WhatsApp und Messenger. Da KI-Software manchmal unerwartete und problematische Inhalte erzeugen kann, werde sich Meta mehr Zeit mit der Einführung solcher Funktionen lassen als sonst üblich. Cox räumte zugleich ein, dass für die meisten Menschen KI-Anwendungen noch nicht zu einem festen Bestandteil ihres Alltags geworden seien.,, Sie sind definitiv interessant, aber wir haben noch nichts gesehen, was tagtäglich nützlich wäre wie etwa WhatsApp, E-Mail oder die Kamera. """
2295,10,"Künstliche Intelligenz werde verändern, wie Menschen die meisten Produkte von Meta nutzen, betonte Zuckerberg.",1,1,3,3,3,0,3,0.0,1574,"Zum anderen will Meta die Nutzer mit KI-Bots interagieren lassen, die auf verschiedene Themen und Wissensbereiche spezialisiert sind. Prominente leihen ihre Gesichter dafür - etwa Football-Star Tom Brady für einen Bot zu Sport-Themen. Die Idee dahinter sei, den Nutzern eine Möglichkeit zu geben, auf interaktive Weise ihren Interessen nachzugehen, sagte Meta-Produktchef Chris Cox. Im,, AI Studio "" sollen Unternehmen eigene Künstliche Intelligenzen entwickeln können. Auch Prominente könnten mit der Zeit KI-Versionen von sich auf die Plattform bringen, sagte Cox.","Zum Konzern gehören unter anderem auch Instagram sowie die Chatdienste WhatsApp und Messenger. Da KI-Software manchmal unerwartete und problematische Inhalte erzeugen kann, werde sich Meta mehr Zeit mit der Einführung solcher Funktionen lassen als sonst üblich. Cox räumte zugleich ein, dass für die meisten Menschen KI-Anwendungen noch nicht zu einem festen Bestandteil ihres Alltags geworden seien.,, Sie sind definitiv interessant, aber wir haben noch nichts gesehen, was tagtäglich nützlich wäre wie etwa WhatsApp, E-Mail oder die Kamera. "" Er könne sich aber vorstellen, dass Künstliche Intelligenz zum Beispiel beim Erlernen neuer Sprachen sehr hilfreich sein könnte."
2296,11,Zum Konzern gehören unter anderem auch Instagram sowie die Chatdienste WhatsApp und Messenger.,1,1,3,3,3,0,3,0.0,1574,"Prominente leihen ihre Gesichter dafür - etwa Football-Star Tom Brady für einen Bot zu Sport-Themen. Die Idee dahinter sei, den Nutzern eine Möglichkeit zu geben, auf interaktive Weise ihren Interessen nachzugehen, sagte Meta-Produktchef Chris Cox. Im,, AI Studio "" sollen Unternehmen eigene Künstliche Intelligenzen entwickeln können. Auch Prominente könnten mit der Zeit KI-Versionen von sich auf die Plattform bringen, sagte Cox. Künstliche Intelligenz werde verändern, wie Menschen die meisten Produkte von Meta nutzen, betonte Zuckerberg.","Da KI-Software manchmal unerwartete und problematische Inhalte erzeugen kann, werde sich Meta mehr Zeit mit der Einführung solcher Funktionen lassen als sonst üblich. Cox räumte zugleich ein, dass für die meisten Menschen KI-Anwendungen noch nicht zu einem festen Bestandteil ihres Alltags geworden seien.,, Sie sind definitiv interessant, aber wir haben noch nichts gesehen, was tagtäglich nützlich wäre wie etwa WhatsApp, E-Mail oder die Kamera. "" Er könne sich aber vorstellen, dass Künstliche Intelligenz zum Beispiel beim Erlernen neuer Sprachen sehr hilfreich sein könnte. Zuckerberg stellte auch eine neue VR-Brille vor, die reale Umgebung und digitale Inhalte enger miteinander verknüpfen soll."
2297,12,"Da KI-Software manchmal unerwartete und problematische Inhalte erzeugen kann, werde sich Meta mehr Zeit mit der Einführung solcher Funktionen lassen als sonst üblich.",1,1,3,1,4,0,3,0.0,1574,"Die Idee dahinter sei, den Nutzern eine Möglichkeit zu geben, auf interaktive Weise ihren Interessen nachzugehen, sagte Meta-Produktchef Chris Cox. Im,, AI Studio "" sollen Unternehmen eigene Künstliche Intelligenzen entwickeln können. Auch Prominente könnten mit der Zeit KI-Versionen von sich auf die Plattform bringen, sagte Cox. Künstliche Intelligenz werde verändern, wie Menschen die meisten Produkte von Meta nutzen, betonte Zuckerberg. Zum Konzern gehören unter anderem auch Instagram sowie die Chatdienste WhatsApp und Messenger.","Cox räumte zugleich ein, dass für die meisten Menschen KI-Anwendungen noch nicht zu einem festen Bestandteil ihres Alltags geworden seien.,, Sie sind definitiv interessant, aber wir haben noch nichts gesehen, was tagtäglich nützlich wäre wie etwa WhatsApp, E-Mail oder die Kamera. "" Er könne sich aber vorstellen, dass Künstliche Intelligenz zum Beispiel beim Erlernen neuer Sprachen sehr hilfreich sein könnte. Zuckerberg stellte auch eine neue VR-Brille vor, die reale Umgebung und digitale Inhalte enger miteinander verknüpfen soll. Das Gerät mit dem Namen Quest 3 nimmt mit Kameras den Raum auf und stellt ihn dreidimensional dar."
2298,13,"Cox räumte zugleich ein, dass für die meisten Menschen KI-Anwendungen noch nicht zu einem festen Bestandteil ihres Alltags geworden seien.,, Sie sind definitiv interessant, aber wir haben noch nichts gesehen, was tagtäglich nützlich wäre wie etwa WhatsApp, E-Mail oder die Kamera. """,1,1,3,3,3,0,3,0.0,1574,"Im,, AI Studio "" sollen Unternehmen eigene Künstliche Intelligenzen entwickeln können. Auch Prominente könnten mit der Zeit KI-Versionen von sich auf die Plattform bringen, sagte Cox. Künstliche Intelligenz werde verändern, wie Menschen die meisten Produkte von Meta nutzen, betonte Zuckerberg. Zum Konzern gehören unter anderem auch Instagram sowie die Chatdienste WhatsApp und Messenger. Da KI-Software manchmal unerwartete und problematische Inhalte erzeugen kann, werde sich Meta mehr Zeit mit der Einführung solcher Funktionen lassen als sonst üblich.","Er könne sich aber vorstellen, dass Künstliche Intelligenz zum Beispiel beim Erlernen neuer Sprachen sehr hilfreich sein könnte. Zuckerberg stellte auch eine neue VR-Brille vor, die reale Umgebung und digitale Inhalte enger miteinander verknüpfen soll. Das Gerät mit dem Namen Quest 3 nimmt mit Kameras den Raum auf und stellt ihn dreidimensional dar. Danach kann man für die Nutzer digitale Objekte in die reale Umgebung einbetten."
2299,14,"Er könne sich aber vorstellen, dass Künstliche Intelligenz zum Beispiel beim Erlernen neuer Sprachen sehr hilfreich sein könnte.",1,1,3,2,3,0,1,0.0,1574,"Auch Prominente könnten mit der Zeit KI-Versionen von sich auf die Plattform bringen, sagte Cox. Künstliche Intelligenz werde verändern, wie Menschen die meisten Produkte von Meta nutzen, betonte Zuckerberg. Zum Konzern gehören unter anderem auch Instagram sowie die Chatdienste WhatsApp und Messenger. Da KI-Software manchmal unerwartete und problematische Inhalte erzeugen kann, werde sich Meta mehr Zeit mit der Einführung solcher Funktionen lassen als sonst üblich. Cox räumte zugleich ein, dass für die meisten Menschen KI-Anwendungen noch nicht zu einem festen Bestandteil ihres Alltags geworden seien.,, Sie sind definitiv interessant, aber wir haben noch nichts gesehen, was tagtäglich nützlich wäre wie etwa WhatsApp, E-Mail oder die Kamera. ""","Zuckerberg stellte auch eine neue VR-Brille vor, die reale Umgebung und digitale Inhalte enger miteinander verknüpfen soll. Das Gerät mit dem Namen Quest 3 nimmt mit Kameras den Raum auf und stellt ihn dreidimensional dar. Danach kann man für die Nutzer digitale Objekte in die reale Umgebung einbetten. Das können zum Beispiel virtuelle Fotos an der Wand sein oder ein Portal, über das man in eine andere virtuelle Welt schlüpfen kann."
2305,20,"Auch zum Beispiel bei Beratungen in Unternehmen dürften an einem Tisch zunehmend Menschen, digitale Avatare von abwesenden Mitarbeitern sowie verschiedene Chatbots sitzen.",1,1,3,2,3,0,4,0.0,1574,"Zuckerberg stellte auch eine neue VR-Brille vor, die reale Umgebung und digitale Inhalte enger miteinander verknüpfen soll. Das Gerät mit dem Namen Quest 3 nimmt mit Kameras den Raum auf und stellt ihn dreidimensional dar. Danach kann man für die Nutzer digitale Objekte in die reale Umgebung einbetten. Das können zum Beispiel virtuelle Fotos an der Wand sein oder ein Portal, über das man in eine andere virtuelle Welt schlüpfen kann. Er gehe davon aus, dass man mit der Zeit in einem Raum mit genauso vielen digitalen wie realen Objekten interagieren werde, sagte Zuckerberg.","Der Alltag bestehe immer mehr aus einer Kombination physischer und digitaler Erlebnisse. Eine zentrale Frage sei, wie man sie zusammenbringt. Zuckerberg setzt schon lange auf virtuelle Welten. Er ließ den Facebook-Konzern in Meta umbenennen, um den Fokus auf die virtuelle Umgebung, das,, Metaverse "", zu unterstreichen."
2306,21,Der Alltag bestehe immer mehr aus einer Kombination physischer und digitaler Erlebnisse.,1,1,3,3,3,0,3,0.0,1574,"Das Gerät mit dem Namen Quest 3 nimmt mit Kameras den Raum auf und stellt ihn dreidimensional dar. Danach kann man für die Nutzer digitale Objekte in die reale Umgebung einbetten. Das können zum Beispiel virtuelle Fotos an der Wand sein oder ein Portal, über das man in eine andere virtuelle Welt schlüpfen kann. Er gehe davon aus, dass man mit der Zeit in einem Raum mit genauso vielen digitalen wie realen Objekten interagieren werde, sagte Zuckerberg. Auch zum Beispiel bei Beratungen in Unternehmen dürften an einem Tisch zunehmend Menschen, digitale Avatare von abwesenden Mitarbeitern sowie verschiedene Chatbots sitzen.","Eine zentrale Frage sei, wie man sie zusammenbringt. Zuckerberg setzt schon lange auf virtuelle Welten. Er ließ den Facebook-Konzern in Meta umbenennen, um den Fokus auf die virtuelle Umgebung, das,, Metaverse "", zu unterstreichen. Zugleich verschlingt die Entwicklung Quartal für Quartal Milliarden Dollar, während die Technologie noch immer keinen Massenmarkt eroberte."
2307,22,"Eine zentrale Frage sei, wie man sie zusammenbringt.",1,1,3,3,3,0,3,0.0,1574,"Danach kann man für die Nutzer digitale Objekte in die reale Umgebung einbetten. Das können zum Beispiel virtuelle Fotos an der Wand sein oder ein Portal, über das man in eine andere virtuelle Welt schlüpfen kann. Er gehe davon aus, dass man mit der Zeit in einem Raum mit genauso vielen digitalen wie realen Objekten interagieren werde, sagte Zuckerberg. Auch zum Beispiel bei Beratungen in Unternehmen dürften an einem Tisch zunehmend Menschen, digitale Avatare von abwesenden Mitarbeitern sowie verschiedene Chatbots sitzen. Der Alltag bestehe immer mehr aus einer Kombination physischer und digitaler Erlebnisse.","Zuckerberg setzt schon lange auf virtuelle Welten. Er ließ den Facebook-Konzern in Meta umbenennen, um den Fokus auf die virtuelle Umgebung, das,, Metaverse "", zu unterstreichen. Zugleich verschlingt die Entwicklung Quartal für Quartal Milliarden Dollar, während die Technologie noch immer keinen Massenmarkt eroberte. Allein im ersten Halbjahr 2023 verbuchte die Sparte Reality Labs einen operativen Verlust von 7,7 Milliarden Dollar."
2308,23,Zuckerberg setzt schon lange auf virtuelle Welten.,1,1,3,3,3,0,3,0.0,1574,"Das können zum Beispiel virtuelle Fotos an der Wand sein oder ein Portal, über das man in eine andere virtuelle Welt schlüpfen kann. Er gehe davon aus, dass man mit der Zeit in einem Raum mit genauso vielen digitalen wie realen Objekten interagieren werde, sagte Zuckerberg. Auch zum Beispiel bei Beratungen in Unternehmen dürften an einem Tisch zunehmend Menschen, digitale Avatare von abwesenden Mitarbeitern sowie verschiedene Chatbots sitzen. Der Alltag bestehe immer mehr aus einer Kombination physischer und digitaler Erlebnisse. Eine zentrale Frage sei, wie man sie zusammenbringt.","Er ließ den Facebook-Konzern in Meta umbenennen, um den Fokus auf die virtuelle Umgebung, das,, Metaverse "", zu unterstreichen. Zugleich verschlingt die Entwicklung Quartal für Quartal Milliarden Dollar, während die Technologie noch immer keinen Massenmarkt eroberte. Allein im ersten Halbjahr 2023 verbuchte die Sparte Reality Labs einen operativen Verlust von 7,7 Milliarden Dollar. Es seien jedoch Investitionen, die sich am Ende auszahlen würden, zeigte sich Technik-Chef Andrew Bosworth überzeugt.,, Man kann an den Zahlen in den Quartalsberichten ablesen, wie sicher wir uns darüber sind "", sagte er der Deutschen Presse-Agentur."
2309,24,"Er ließ den Facebook-Konzern in Meta umbenennen, um den Fokus auf die virtuelle Umgebung, das,, Metaverse "", zu unterstreichen.",1,1,3,3,3,0,3,0.0,1574,"Er gehe davon aus, dass man mit der Zeit in einem Raum mit genauso vielen digitalen wie realen Objekten interagieren werde, sagte Zuckerberg. Auch zum Beispiel bei Beratungen in Unternehmen dürften an einem Tisch zunehmend Menschen, digitale Avatare von abwesenden Mitarbeitern sowie verschiedene Chatbots sitzen. Der Alltag bestehe immer mehr aus einer Kombination physischer und digitaler Erlebnisse. Eine zentrale Frage sei, wie man sie zusammenbringt. Zuckerberg setzt schon lange auf virtuelle Welten.","Zugleich verschlingt die Entwicklung Quartal für Quartal Milliarden Dollar, während die Technologie noch immer keinen Massenmarkt eroberte. Allein im ersten Halbjahr 2023 verbuchte die Sparte Reality Labs einen operativen Verlust von 7,7 Milliarden Dollar. Es seien jedoch Investitionen, die sich am Ende auszahlen würden, zeigte sich Technik-Chef Andrew Bosworth überzeugt.,, Man kann an den Zahlen in den Quartalsberichten ablesen, wie sicher wir uns darüber sind "", sagte er der Deutschen Presse-Agentur. Die Quest 3 bringt den VR-Pionier Meta auch stärker in direkte Konkurrenz mit Apple, das mit seiner bald erscheinenden Brille Vision Pro ebenfalls reale und künstliche Welten verschmelzen will."
2310,25,"Zugleich verschlingt die Entwicklung Quartal für Quartal Milliarden Dollar, während die Technologie noch immer keinen Massenmarkt eroberte.",1,1,3,3,3,0,3,0.0,1574,"Auch zum Beispiel bei Beratungen in Unternehmen dürften an einem Tisch zunehmend Menschen, digitale Avatare von abwesenden Mitarbeitern sowie verschiedene Chatbots sitzen. Der Alltag bestehe immer mehr aus einer Kombination physischer und digitaler Erlebnisse. Eine zentrale Frage sei, wie man sie zusammenbringt. Zuckerberg setzt schon lange auf virtuelle Welten. Er ließ den Facebook-Konzern in Meta umbenennen, um den Fokus auf die virtuelle Umgebung, das,, Metaverse "", zu unterstreichen.","Allein im ersten Halbjahr 2023 verbuchte die Sparte Reality Labs einen operativen Verlust von 7,7 Milliarden Dollar. Es seien jedoch Investitionen, die sich am Ende auszahlen würden, zeigte sich Technik-Chef Andrew Bosworth überzeugt.,, Man kann an den Zahlen in den Quartalsberichten ablesen, wie sicher wir uns darüber sind "", sagte er der Deutschen Presse-Agentur. Die Quest 3 bringt den VR-Pionier Meta auch stärker in direkte Konkurrenz mit Apple, das mit seiner bald erscheinenden Brille Vision Pro ebenfalls reale und künstliche Welten verschmelzen will. Meta will jedoch, dass man die Technologie erschwinglicher anbietet: Quest 3 kostet in den USA 499 Dollar, während die Apple-Brille im kommenden Jahr für 3500 Dollar auf den Markt kommen soll."
2312,27,"Es seien jedoch Investitionen, die sich am Ende auszahlen würden, zeigte sich Technik-Chef Andrew Bosworth überzeugt.,, Man kann an den Zahlen in den Quartalsberichten ablesen, wie sicher wir uns darüber sind "", sagte er der Deutschen Presse-Agentur.",1,1,3,3,3,0,3,0.0,1574,"Eine zentrale Frage sei, wie man sie zusammenbringt. Zuckerberg setzt schon lange auf virtuelle Welten. Er ließ den Facebook-Konzern in Meta umbenennen, um den Fokus auf die virtuelle Umgebung, das,, Metaverse "", zu unterstreichen. Zugleich verschlingt die Entwicklung Quartal für Quartal Milliarden Dollar, während die Technologie noch immer keinen Massenmarkt eroberte. Allein im ersten Halbjahr 2023 verbuchte die Sparte Reality Labs einen operativen Verlust von 7,7 Milliarden Dollar.","Die Quest 3 bringt den VR-Pionier Meta auch stärker in direkte Konkurrenz mit Apple, das mit seiner bald erscheinenden Brille Vision Pro ebenfalls reale und künstliche Welten verschmelzen will. Meta will jedoch, dass man die Technologie erschwinglicher anbietet: Quest 3 kostet in den USA 499 Dollar, während die Apple-Brille im kommenden Jahr für 3500 Dollar auf den Markt kommen soll. Meta stellte auch eine neue Version der gemeinsam mit dem Brillenspezialisten Ray-Ban entwickelten smarten Brille vor. Sie kann Bilder und Videos aufnehmen, und der KI-Chatbot Meta AI kann über winzige Lautsprecher Fragen von Nutzern beantworten."
2315,30,Meta stellte auch eine neue Version der gemeinsam mit dem Brillenspezialisten Ray-Ban entwickelten smarten Brille vor.,1,1,3,2,3,0,4,0.0,1574,"Zugleich verschlingt die Entwicklung Quartal für Quartal Milliarden Dollar, während die Technologie noch immer keinen Massenmarkt eroberte. Allein im ersten Halbjahr 2023 verbuchte die Sparte Reality Labs einen operativen Verlust von 7,7 Milliarden Dollar. Es seien jedoch Investitionen, die sich am Ende auszahlen würden, zeigte sich Technik-Chef Andrew Bosworth überzeugt.,, Man kann an den Zahlen in den Quartalsberichten ablesen, wie sicher wir uns darüber sind "", sagte er der Deutschen Presse-Agentur. Die Quest 3 bringt den VR-Pionier Meta auch stärker in direkte Konkurrenz mit Apple, das mit seiner bald erscheinenden Brille Vision Pro ebenfalls reale und künstliche Welten verschmelzen will. Meta will jedoch, dass man die Technologie erschwinglicher anbietet: Quest 3 kostet in den USA 499 Dollar, während die Apple-Brille im kommenden Jahr für 3500 Dollar auf den Markt kommen soll.","Sie kann Bilder und Videos aufnehmen, und der KI-Chatbot Meta AI kann über winzige Lautsprecher Fragen von Nutzern beantworten. So kann man die Brille etwa fragen, auf was für ein Bauwerk man gerade blickt. Wenn man die Brille bittet, ein Foto an einen Freund zu schicken, macht sie eine Aufnahme und versendet sie über die üblich verwendete Messaging-App. Auf Wunsch kann die Software auch automatisch einen Text zu einem gerade aufgenommenen Instagram-Video schreiben."
2316,31,"Sie kann Bilder und Videos aufnehmen, und der KI-Chatbot Meta AI kann über winzige Lautsprecher Fragen von Nutzern beantworten.",1,2,3,2,3,0,4,0.0,1574,"Allein im ersten Halbjahr 2023 verbuchte die Sparte Reality Labs einen operativen Verlust von 7,7 Milliarden Dollar. Es seien jedoch Investitionen, die sich am Ende auszahlen würden, zeigte sich Technik-Chef Andrew Bosworth überzeugt.,, Man kann an den Zahlen in den Quartalsberichten ablesen, wie sicher wir uns darüber sind "", sagte er der Deutschen Presse-Agentur. Die Quest 3 bringt den VR-Pionier Meta auch stärker in direkte Konkurrenz mit Apple, das mit seiner bald erscheinenden Brille Vision Pro ebenfalls reale und künstliche Welten verschmelzen will. Meta will jedoch, dass man die Technologie erschwinglicher anbietet: Quest 3 kostet in den USA 499 Dollar, während die Apple-Brille im kommenden Jahr für 3500 Dollar auf den Markt kommen soll. Meta stellte auch eine neue Version der gemeinsam mit dem Brillenspezialisten Ray-Ban entwickelten smarten Brille vor.","So kann man die Brille etwa fragen, auf was für ein Bauwerk man gerade blickt. Wenn man die Brille bittet, ein Foto an einen Freund zu schicken, macht sie eine Aufnahme und versendet sie über die üblich verwendete Messaging-App. Auf Wunsch kann die Software auch automatisch einen Text zu einem gerade aufgenommenen Instagram-Video schreiben. Meta könne Risiken, die KI mit sich bringe, im Griff behalten, sagte Bosworth."
2317,32,"So kann man die Brille etwa fragen, auf was für ein Bauwerk man gerade blickt.",1,1,3,2,3,0,4,0.0,1574,"Es seien jedoch Investitionen, die sich am Ende auszahlen würden, zeigte sich Technik-Chef Andrew Bosworth überzeugt.,, Man kann an den Zahlen in den Quartalsberichten ablesen, wie sicher wir uns darüber sind "", sagte er der Deutschen Presse-Agentur. Die Quest 3 bringt den VR-Pionier Meta auch stärker in direkte Konkurrenz mit Apple, das mit seiner bald erscheinenden Brille Vision Pro ebenfalls reale und künstliche Welten verschmelzen will. Meta will jedoch, dass man die Technologie erschwinglicher anbietet: Quest 3 kostet in den USA 499 Dollar, während die Apple-Brille im kommenden Jahr für 3500 Dollar auf den Markt kommen soll. Meta stellte auch eine neue Version der gemeinsam mit dem Brillenspezialisten Ray-Ban entwickelten smarten Brille vor. Sie kann Bilder und Videos aufnehmen, und der KI-Chatbot Meta AI kann über winzige Lautsprecher Fragen von Nutzern beantworten.","Wenn man die Brille bittet, ein Foto an einen Freund zu schicken, macht sie eine Aufnahme und versendet sie über die üblich verwendete Messaging-App. Auf Wunsch kann die Software auch automatisch einen Text zu einem gerade aufgenommenen Instagram-Video schreiben. Meta könne Risiken, die KI mit sich bringe, im Griff behalten, sagte Bosworth. Es sei für Nutzer mit bösen Absichten zwar nicht schwierig, einen übergriffigen Chatbot zu kontrollieren.,, Aber wir kontrollieren immer noch den Zugang der Accounts zur Plattform. """
2318,33,"Wenn man die Brille bittet, ein Foto an einen Freund zu schicken, macht sie eine Aufnahme und versendet sie über die üblich verwendete Messaging-App.",1,1,3,2,3,0,4,0.0,1574,"Die Quest 3 bringt den VR-Pionier Meta auch stärker in direkte Konkurrenz mit Apple, das mit seiner bald erscheinenden Brille Vision Pro ebenfalls reale und künstliche Welten verschmelzen will. Meta will jedoch, dass man die Technologie erschwinglicher anbietet: Quest 3 kostet in den USA 499 Dollar, während die Apple-Brille im kommenden Jahr für 3500 Dollar auf den Markt kommen soll. Meta stellte auch eine neue Version der gemeinsam mit dem Brillenspezialisten Ray-Ban entwickelten smarten Brille vor. Sie kann Bilder und Videos aufnehmen, und der KI-Chatbot Meta AI kann über winzige Lautsprecher Fragen von Nutzern beantworten. So kann man die Brille etwa fragen, auf was für ein Bauwerk man gerade blickt.","Auf Wunsch kann die Software auch automatisch einen Text zu einem gerade aufgenommenen Instagram-Video schreiben. Meta könne Risiken, die KI mit sich bringe, im Griff behalten, sagte Bosworth. Es sei für Nutzer mit bösen Absichten zwar nicht schwierig, einen übergriffigen Chatbot zu kontrollieren.,, Aber wir kontrollieren immer noch den Zugang der Accounts zur Plattform. """
2319,34,Auf Wunsch kann die Software auch automatisch einen Text zu einem gerade aufgenommenen Instagram-Video schreiben.,1,1,3,2,3,0,4,0.0,1574,"Meta will jedoch, dass man die Technologie erschwinglicher anbietet: Quest 3 kostet in den USA 499 Dollar, während die Apple-Brille im kommenden Jahr für 3500 Dollar auf den Markt kommen soll. Meta stellte auch eine neue Version der gemeinsam mit dem Brillenspezialisten Ray-Ban entwickelten smarten Brille vor. Sie kann Bilder und Videos aufnehmen, und der KI-Chatbot Meta AI kann über winzige Lautsprecher Fragen von Nutzern beantworten. So kann man die Brille etwa fragen, auf was für ein Bauwerk man gerade blickt. Wenn man die Brille bittet, ein Foto an einen Freund zu schicken, macht sie eine Aufnahme und versendet sie über die üblich verwendete Messaging-App.","Meta könne Risiken, die KI mit sich bringe, im Griff behalten, sagte Bosworth. Es sei für Nutzer mit bösen Absichten zwar nicht schwierig, einen übergriffigen Chatbot zu kontrollieren.,, Aber wir kontrollieren immer noch den Zugang der Accounts zur Plattform. """
2320,35,"Meta könne Risiken, die KI mit sich bringe, im Griff behalten, sagte Bosworth.",1,1,3,1,77,0,3,0.0,1574,"Meta stellte auch eine neue Version der gemeinsam mit dem Brillenspezialisten Ray-Ban entwickelten smarten Brille vor. Sie kann Bilder und Videos aufnehmen, und der KI-Chatbot Meta AI kann über winzige Lautsprecher Fragen von Nutzern beantworten. So kann man die Brille etwa fragen, auf was für ein Bauwerk man gerade blickt. Wenn man die Brille bittet, ein Foto an einen Freund zu schicken, macht sie eine Aufnahme und versendet sie über die üblich verwendete Messaging-App. Auf Wunsch kann die Software auch automatisch einen Text zu einem gerade aufgenommenen Instagram-Video schreiben.","Es sei für Nutzer mit bösen Absichten zwar nicht schwierig, einen übergriffigen Chatbot zu kontrollieren.,, Aber wir kontrollieren immer noch den Zugang der Accounts zur Plattform. """
